Entry,Entry.Name,Protein.names,Reviewed,ComplexPortal,OrthoDB
O00411,RPOM_HUMAN,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",reviewed,CPX-7241;,276422at2759;
O15143,ARC1B_HUMAN,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),reviewed,CPX-2579;CPX-2580;CPX-2583;CPX-2663;,406844at2759;
O15151,MDM4_HUMAN,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),reviewed,CPX-6093;CPX-663;,24526at2759;
O15392,BIRC5_HUMAN,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),reviewed,CPX-111;CPX-116;,2196114at2759;
O43678,NDUA2_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit),reviewed,CPX-577;,10250268at2759;
O43681,GET3_HUMAN,"ATPase GET3 (EC 3.6.4.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",reviewed,CPX-6464;,1770at2759;
O43791,SPOP_HUMAN,Speckle-type POZ protein (HIB homolog 1) (Roadkill homolog 1),reviewed,CPX-2300;CPX-8916;,6359816at2759;
O60216,RAD21_HUMAN,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)],reviewed,CPX-5989;CPX-5991;CPX-6082;,10071381at2759;
O75569,PRKRA_HUMAN,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)",reviewed,CPX-1072;,10056847at2759;
O95149,SPN1_HUMAN,Snurportin-1 (RNA U transporter 1),reviewed,CPX-1032;,10003593at2759;
O95163,ELP1_HUMAN,Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein) (p150),reviewed,CPX-1949;,40048at2759;
O95347,SMC2_HUMAN,Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog),reviewed,CPX-979;CPX-985;,10255539at2759;
O95999,BCL10_HUMAN,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),reviewed,CPX-8881;CPX-8901;CPX-8902;CPX-8906;,5984934at2759;
P01574,IFNB_HUMAN,Interferon beta (IFN-beta) (Fibroblast interferon),reviewed,CPX-6007;,8922121at2759;
P01583,IL1A_HUMAN,Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1),reviewed,CPX-8830;CPX-9166;CPX-9168;CPX-9169;CPX-9173;,9451248at2759;
P02462,CO4A1_HUMAN,Collagen alpha-1(IV) chain [Cleaved into: Arresten],reviewed,CPX-1723;,10071882at2759;
P02533,K1C14_HUMAN,"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)",reviewed,CPX-888;,2441647at2759;
P02549,SPTA1_HUMAN,"Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)",reviewed,CPX-2499;,6018565at2759;
P05109,S10A8_HUMAN,Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A),reviewed,CPX-37;CPX-39;CPX-42;CPX-52;,26525at2759;
P05388,RLA0_HUMAN,Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E),reviewed,CPX-5183;CPX-7664;CPX-7665;,10259902at2759;
P05783,K1C18_HUMAN,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",reviewed,CPX-5661;,2441647at2759;
P08574,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",reviewed,CPX-560;,5925at2759;
P09693,CD3G_HUMAN,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g),reviewed,CPX-6482;CPX-6581;CPX-6582;CPX-6603;,8941324at2759;
P14854,CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),reviewed,CPX-6123;,1107506at2759;
P14927,QCR7_HUMAN,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein),reviewed,CPX-560;,425749at2759;
P16118,F261_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",reviewed,CPX-1992;,267323at2759;
P16298,PP2BB_HUMAN,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta),reviewed,CPX-1002;CPX-1009;CPX-1116;CPX-998;,5593063at2759;
P18615,NELFE_HUMAN,Negative elongation factor E (NELF-E) (RNA-binding protein RD),reviewed,CPX-6267;,378874at2759;
P18846,ATF1_HUMAN,Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (Protein TREB36),reviewed,CPX-6401;CPX-6402;CPX-6404;CPX-6405;CPX-9;,5970722at2759;
P20226,TBP_HUMAN,TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit),reviewed,CPX-2396;CPX-2397;CPX-2398;CPX-7978;CPX-915;CPX-930;,2127950at2759;
P20674,COX5A_HUMAN,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)",reviewed,CPX-6123;,5778907at2759;
P20702,ITAX_HUMAN,"Integrin alpha-X (CD11 antigen-like family member C) (Leu M5) (Leukocyte adhesion glycoprotein p150,95 alpha chain) (Leukocyte adhesion receptor p150,95) (CD antigen CD11c)",reviewed,CPX-1827;,5317514at2759;
P20963,CD3Z_HUMAN,T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247),reviewed,CPX-6482;CPX-6581;CPX-6582;CPX-6603;,9941225at2759;
P24864,CCNE1_HUMAN,G1/S-specific cyclin-E1,reviewed,CPX-2015;,5590282at2759;
P25205,MCM3_HUMAN,DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102),reviewed,CPX-2940;,1882346at2759;
P26006,ITA3_HUMAN,Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain],reviewed,CPX-1797;CPX-8572;,5317514at2759;
P26012,ITB8_HUMAN,Integrin beta-8,reviewed,CPX-1821;,410592at2759;
P33992,MCM5_HUMAN,DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46),reviewed,CPX-2940;,10036721at2759;
P35226,BMI1_HUMAN,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51),reviewed,CPX-2273;CPX-2274;CPX-2282;CPX-2571;CPX-7501;CPX-7502;CPX-7504;CPX-7505;CPX-7506;CPX-7508;CPX-7509;CPX-7510;CPX-7511;CPX-7513;CPX-7514;CPX-7515;CPX-7516;CPX-7517;CPX-7518;CPX-7541;CPX-7542;CPX-7544;CPX-7545;CPX-7546;CPX-7547;CPX-7548;CPX-7549;CPX-7550;CPX-7551;CPX-7552;CPX-7553;CPX-7554;CPX-7555;CPX-7556;,1305878at2759;
P35606,COPB2_HUMAN,Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102),reviewed,CPX-7803;CPX-7969;CPX-7970;,2150324at2759;
P35659,DEK_HUMAN,Protein DEK,reviewed,CPX-1099;,370884at2759;
P36578,RL4_HUMAN,Large ribosomal subunit protein uL4 (60S ribosomal protein L1) (60S ribosomal protein L4),reviewed,CPX-5183;CPX-7664;CPX-7665;,9535260at2759;
P39060,COIA1_HUMAN,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],reviewed,CPX-1759;,5983381at2759;
P39086,GRIK1_HUMAN,"Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)",reviewed,CPX-8522;CPX-8523;CPX-8525;CPX-8545;CPX-8550;CPX-8555;CPX-8556;CPX-8629;CPX-8632;CPX-8633;CPX-8634;,5984008at2759;
P40938,RFC3_HUMAN,Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38),reviewed,CPX-415;CPX-7931;,761538at2759;
P48544,KCNJ5_HUMAN,"G protein-activated inward rectifier potassium channel 4 (GIRK-4) (Cardiac inward rectifier) (CIR) (Heart KATP channel) (Inward rectifier K(+) channel Kir3.4) (IRK-4) (KATP-1) (Potassium channel, inwardly rectifying subfamily J member 5)",reviewed,CPX-3278;,273257at2759;
P49005,DPOD2_HUMAN,DNA polymerase delta subunit 2 (DNA polymerase delta subunit p50),reviewed,CPX-2097;CPX-994;,3763at2759;
P51798,CLCN7_HUMAN,H(+)/Cl(-) exchange transporter 7 (Chloride channel 7 alpha subunit) (Chloride channel protein 7) (ClC-7),reviewed,CPX-6321;,428525at2759;
P52298,NCBP2_HUMAN,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1),reviewed,CPX-1427;,201398at2759;
P55268,LAMB2_HUMAN,Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta),reviewed,CPX-1772;CPX-1773;CPX-1776;CPX-1778;CPX-1780;CPX-1782;CPX-1783;CPX-1784;,5985440at2759;
P55957,BID_HUMAN,BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)],reviewed,CPX-1984;CPX-1991;,9941774at2759;
P57740,NU107_HUMAN,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),reviewed,CPX-873;,3098at2759;
P61353,RL27_HUMAN,Large ribosomal subunit protein eL27 (60S ribosomal protein L27),reviewed,CPX-5183;CPX-7664;CPX-7665;,2365484at2759;
P62273,RS29_HUMAN,Small ribosomal subunit protein uS14 (40S ribosomal protein S29),reviewed,CPX-5223;,9816073at2759;
P62306,RUXF_HUMAN,Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF),reviewed,CPX-2391;CPX-2392;CPX-2539;CPX-2705;CPX-6033;,9582814at2759;
P62753,RS6_HUMAN,Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33),reviewed,CPX-5223;,9530936at2759;
P62829,RL23_HUMAN,Large ribosomal subunit protein uL14 (60S ribosomal protein L17) (60S ribosomal protein L23),reviewed,CPX-5183;CPX-7664;CPX-7665;,407959at2759;
P62847,RS24_HUMAN,Small ribosomal subunit protein eS24 (40S ribosomal protein S24),reviewed,CPX-5223;,9532209at2759;
P83731,RL24_HUMAN,Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30),reviewed,CPX-5183;CPX-7664;CPX-7665;,1727108at2759;
Q00536,CDK16_HUMAN,Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1),reviewed,CPX-379;,1732493at2759;
Q03468,ERCC6_HUMAN,DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB),reviewed,CPX-1099;,413460at2759;
Q06643,TNFC_HUMAN,Lymphotoxin-beta (LT-beta) (Tumor necrosis factor C) (TNF-C) (Tumor necrosis factor ligand superfamily member 3),reviewed,CPX-8947;,9933527at2759;
Q08999,RBL2_HUMAN,Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (Retinoblastoma-related protein 2) (RBR-2) (pRb2),reviewed,CPX-7461;,844594at2759;
Q13002,GRIK2_HUMAN,"Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)",reviewed,CPX-8468;CPX-8503;CPX-8525;CPX-8545;CPX-8553;CPX-8556;CPX-8630;CPX-8632;CPX-8634;,5984008at2759;
Q13426,XRCC4_HUMAN,"DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4) [Cleaved into: Protein XRCC4, C-terminus (XRCC4/C)]",reviewed,CPX-618;,8064436at2759;
Q13888,TF2H2_HUMAN,General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit),reviewed,CPX-2395;,284275at2759;
Q14181,DPOA2_HUMAN,DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit),reviewed,CPX-2087;,336885at2759;
Q15427,SF3B4_HUMAN,Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49),reviewed,CPX-2227;CPX-2539;,10259687at2759;
Q15797,SMAD1_HUMAN,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1),reviewed,CPX-144;CPX-54;,5794312at2759;
Q16186,ADRM1_HUMAN,Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog),reviewed,CPX-5993;CPX-8964;CPX-9082;CPX-9085;CPX-9086;,340431at2759;
Q53H12,AGK_HUMAN,"Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)",reviewed,CPX-6124;,9979394at2759;
Q86WV6,STING_HUMAN,Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173),reviewed,CPX-2127;CPX-6018;,6053839at2759;
Q8NI22,MCFD2_HUMAN,Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein),reviewed,CPX-8001;,289247at2759;
Q8WYB5,KAT6B_HUMAN,"Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)",reviewed,CPX-738;CPX-739;CPX-740;,787137at2759;
Q92466,DDB2_HUMAN,DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2),reviewed,CPX-308;CPX-477;CPX-648;,9890280at2759;
Q93063,EXT2_HUMAN,Exostosin-2 (EC 2.4.1.224) (Exostosin glycosyltransferase 2) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Heparan sulfate co-polymerase subunit EXT1) (Multiple exostoses protein 2),reviewed,CPX-8307;,5954868at2759;
Q96FV9,THOC1_HUMAN,THO complex subunit 1 (Nuclear matrix protein p84) (p84N5) (hTREX84),reviewed,CPX-2488;CPX-7261;,10257415at2759;
Q96GM5,SMRD1_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit),reviewed,CPX-1164;CPX-1194;CPX-1195;CPX-1196;CPX-1199;CPX-1201;CPX-1202;CPX-1204;CPX-1205;CPX-1206;CPX-1207;CPX-1209;CPX-1210;CPX-1211;CPX-1212;CPX-1213;CPX-1215;CPX-1216;CPX-1217;CPX-1218;CPX-1222;CPX-1223;CPX-1224;CPX-1225;CPX-1226;CPX-1227;CPX-1228;CPX-4084;CPX-4203;CPX-4206;CPX-4207;CPX-4223;CPX-4224;CPX-4225;CPX-4226;,10263741at2759;
Q96S44,PRPK_HUMAN,EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase),reviewed,CPX-2252;,3399at2759;
Q99460,PSMD1_HUMAN,26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112),reviewed,CPX-5993;CPX-8964;CPX-9082;CPX-9085;CPX-9086;,261572at2759;
Q99570,PI3R4_HUMAN,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),reviewed,CPX-73;CPX-74;,242910at2759;
Q99816,TS101_HUMAN,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),reviewed,CPX-2505;CPX-7146;CPX-7147;CPX-7148;CPX-7162;CPX-7164;CPX-7166;CPX-7167;CPX-7181;CPX-7201;CPX-7202;CPX-7203;,306304at2759;
Q9BXJ9,NAA15_HUMAN,"N-alpha-acetyltransferase 15, NatA auxiliary subunit (Gastric cancer antigen Ga19) (N-terminal acetyltransferase) (NMDA receptor-regulated protein 1) (Protein tubedown-1) (Tbdn100)",reviewed,CPX-6271;CPX-6273;,10263032at2759;
Q9H211,CDT1_HUMAN,DNA replication factor Cdt1 (Double parked homolog) (DUP),reviewed,CPX-659;,341730at2759;
Q9H9Y6,RPA2_HUMAN,DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135),reviewed,CPX-2386;,10248617at2759;
Q9HC52,CBX8_HUMAN,Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1),reviewed,CPX-2621;CPX-2622;CPX-2623;CPX-7516;CPX-7517;CPX-7518;CPX-7533;CPX-7534;CPX-7535;CPX-7554;CPX-7555;CPX-7556;,1918685at2759;
Q9NTJ3,SMC4_HUMAN,Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome-associated polypeptide C) (hCAP-C) (XCAP-C homolog),reviewed,CPX-979;CPX-985;,5575062at2759;
Q9NUW8,TYDP1_HUMAN,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),reviewed,CPX-793;,47785at2759;
Q9NUX5,POTE1_HUMAN,Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein),reviewed,CPX-152;,2186770at2759;
Q9NZN8,CNOT2_HUMAN,CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2),reviewed,CPX-2522;CPX-2535;CPX-2849;CPX-707;,25391at2759;
Q9P0L0,VAPA_HUMAN,Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33),reviewed,CPX-489;,264603at2759;
Q9UBQ0,VPS29_HUMAN,Vacuolar protein sorting-associated protein 29 (hVPS29) (PEP11 homolog) (Vesicle protein sorting 29),reviewed,CPX-2211;CPX-7842;CPX-7843;,10258130at2759;
Q9UGM1,ACHA9_HUMAN,Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9),reviewed,CPX-2171;CPX-226;,5975154at2759;
Q9UJX2,CDC23_HUMAN,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),reviewed,CPX-1860;,10262026at2759;
Q9UKL0,RCOR1_HUMAN,REST corepressor 1 (Protein CoREST),reviewed,CPX-8943;CPX-9065;,10064338at2759;
Q9UL46,PSME2_HUMAN,Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta),reviewed,CPX-8842;CPX-9002;CPX-9082;,6591885at2759;
Q9UM54,MYO6_HUMAN,Unconventional myosin-VI (Unconventional myosin-6),reviewed,CPX-7724;CPX-7725;,6108017at2759;
Q9UN37,VPS4A_HUMAN,Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4),reviewed,CPX-338;,29072at2759;
Q9Y478,AAKB1_HUMAN,5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb),reviewed,CPX-5633;CPX-5786;CPX-5787;CPX-5842;CPX-5843;CPX-5844;,531008at2759;
O00232,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),reviewed,CPX-5993;CPX-8964;CPX-9082;CPX-9085;CPX-9086;,268763at2759;
O00267,SPT5H_HUMAN,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),reviewed,CPX-891;,28901at2759;
O14964,HGS_HUMAN,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),reviewed,CPX-2825;CPX-7143;,957735at2759;
O15550,KDM6A_HUMAN,Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A),reviewed,CPX-7091;CPX-7104;,418911at2759;
O43463,SUV91_HUMAN,Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1),reviewed,CPX-467;,308383at2759;
O43741,AAKB2_HUMAN,5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2),reviewed,CPX-5790;CPX-5791;CPX-5840;CPX-5841;CPX-5845;CPX-5846;,531008at2759;
O60825,F262_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]",reviewed,CPX-1994;,267323at2759;
O60832,DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),reviewed,CPX-265;,10250002at2759;
O75306,NDUS2_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",reviewed,CPX-577;,1009at2759;
O75380,NDUS6_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)",reviewed,CPX-577;,307899at2759;
O75496,GEMI_HUMAN,Geminin,reviewed,CPX-6094;CPX-659;CPX-660;CPX-661;,10043826at2759;
O75909,CCNK_HUMAN,Cyclin-K,reviewed,CPX-241;CPX-359;,25002at2759;
O75947,ATP5H_HUMAN,"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)",reviewed,CPX-6151;,35799at2759;
O95299,NDUAA_HUMAN,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)",reviewed,CPX-577;,17400at2759;
O95696,BRD1_HUMAN,Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2),reviewed,CPX-733;CPX-739;,20839at2759;
P01040,CYTA_HUMAN,"Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]",reviewed,CPX-98;,2429551at2759;
P01225,FSHB_HUMAN,Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain),reviewed,CPX-665;,8453657at2759;
P01563,IFNA2_HUMAN,Interferon alpha-2 (IFN-alpha-2) (Interferon alpha-A) (LeIF A),reviewed,CPX-5995;,9833506at2759;
P02708,ACHA_HUMAN,Acetylcholine receptor subunit alpha,reviewed,CPX-2179;CPX-255;,5975154at2759;
P04141,CSF2_HUMAN,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),reviewed,CPX-512;,9633166at2759;
P04264,K2C1_HUMAN,"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)",reviewed,CPX-5662;,9539572at2759;
P04908,H2A1B_HUMAN,Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m),reviewed,CPX-2556;CPX-2564;CPX-5647;CPX-5668;,9829024at2759;
P07992,ERCC1_HUMAN,DNA excision repair protein ERCC-1,reviewed,CPX-478 [P07992-1];,10262814at2759;
